class,correct,total,accuracy_percent
feeding a horse,58,58,100.0
climbing,58,59,98.30508474576271
walking the dog,58,59,98.30508474576271
playing guitar,57,58,98.27586206896551
playing violin,51,52,98.07692307692307
cleaning the floor,42,43,97.67441860465115
shooting an arrow,42,43,97.67441860465115
riding a bike,57,59,96.61016949152543
blowing bubbles,50,52,96.15384615384616
fixing a car,49,51,96.07843137254902
fixing a bike,44,46,95.65217391304348
watching TV,43,45,95.55555555555556
holding an umbrella,56,59,94.91525423728814
writing on a board,35,37,94.5945945945946
rowing a boat,35,37,94.5945945945946
cutting trees,38,41,92.6829268292683
throwing frisby,38,41,92.6829268292683
gardening,37,40,92.5
riding a horse,55,60,91.66666666666666
fishing,50,55,90.9090909090909
pushing a cart,42,47,89.36170212765957
using a computer,40,46,86.95652173913044
reading,42,49,85.71428571428571
waving hands,36,42,85.71428571428571
taking photos,34,40,85.0
looking through a microscope,33,39,84.61538461538461
cooking,49,58,84.48275862068965
running,42,51,82.35294117647058
drinking,42,52,80.76923076923077
writing on a book,39,50,78.0
looking through a telescope,30,41,73.17073170731707
washing dishes,26,37,70.27027027027027
brushing teeth,28,40,70.0
smoking,34,49,69.38775510204081
jumping,40,59,67.79661016949152
texting message,25,39,64.1025641025641
cutting vegetables,22,38,57.89473684210527
phoning,20,52,38.46153846153847
applauding,15,57,26.31578947368421
pouring liquid,8,40,20.0
