,precision,recall,f1-score,support
applauding,0.825,0.5789473684210527,0.6804123711340206,57.0
blowing bubbles,0.7,0.9423076923076923,0.8032786885245902,52.0
brushing teeth,0.8,0.7,0.7466666666666667,40.0
cleaning the floor,1.0,0.9767441860465116,0.9882352941176471,43.0
climbing,0.9508196721311475,0.9830508474576272,0.9666666666666667,59.0
cooking,0.6,0.8275862068965517,0.6956521739130435,58.0
cutting trees,0.8837209302325582,0.926829268292683,0.9047619047619048,41.0
cutting vegetables,0.7419354838709677,0.6052631578947368,0.6666666666666666,38.0
drinking,0.5945945945945946,0.8461538461538461,0.6984126984126984,52.0
feeding a horse,0.90625,1.0,0.9508196721311475,58.0
fishing,0.9259259259259259,0.9090909090909091,0.9174311926605505,55.0
fixing a bike,0.9777777777777777,0.9565217391304348,0.967032967032967,46.0
fixing a car,0.9803921568627451,0.9803921568627451,0.9803921568627451,51.0
gardening,0.8409090909090909,0.925,0.8809523809523809,40.0
holding an umbrella,0.9655172413793104,0.9491525423728814,0.9572649572649573,59.0
jumping,0.9215686274509803,0.7966101694915254,0.8545454545454545,59.0
looking through a microscope,1.0,0.8461538461538461,0.9166666666666666,39.0
looking through a telescope,1.0,0.7317073170731707,0.8450704225352113,41.0
phoning,0.8421052631578947,0.6153846153846154,0.7111111111111111,52.0
playing guitar,0.9827586206896551,0.9827586206896551,0.9827586206896551,58.0
playing violin,0.9272727272727272,0.9807692307692307,0.9532710280373832,52.0
pouring liquid,0.8333333333333334,0.125,0.21739130434782608,40.0
pushing a cart,0.8958333333333334,0.9148936170212766,0.9052631578947369,47.0
reading,0.6724137931034483,0.7959183673469388,0.7289719626168224,49.0
riding a bike,0.95,0.9661016949152542,0.957983193277311,59.0
riding a horse,1.0,0.9166666666666666,0.9565217391304348,60.0
rowing a boat,0.9722222222222222,0.9459459459459459,0.958904109589041,37.0
running,0.8958333333333334,0.8431372549019608,0.8686868686868687,51.0
shooting an arrow,0.8936170212765957,0.9767441860465116,0.9333333333333333,43.0
smoking,0.7857142857142857,0.673469387755102,0.7252747252747253,49.0
taking photos,0.5573770491803278,0.85,0.6732673267326733,40.0
texting message,0.8076923076923077,0.5384615384615384,0.6461538461538462,39.0
throwing frisby,0.7450980392156863,0.926829268292683,0.8260869565217391,41.0
using a computer,0.8541666666666666,0.8913043478260869,0.8723404255319149,46.0
walking the dog,0.90625,0.9830508474576272,0.943089430894309,59.0
washing dishes,0.55,0.5945945945945946,0.5714285714285714,37.0
watching TV,1.0,0.9555555555555556,0.9772727272727273,45.0
waving hands,0.6428571428571429,0.6428571428571429,0.6428571428571429,42.0
writing on a board,0.8181818181818182,0.972972972972973,0.8888888888888888,37.0
writing on a book,0.7777777777777778,0.7,0.7368421052631579,50.0
accuracy,0.8407079646017699,0.8407079646017699,0.8407079646017699,0.8407079646017699
macro avg,0.8481229059035915,0.8318481777276894,0.8274656894262552,1921.0
weighted avg,0.8530733157768137,0.8407079646017699,0.8355871778480466,1921.0
