class,correct,total,accuracy,accuracy_percent
feeding a horse,58,58,1.0,100.0
climbing,58,59,0.9830508474576272,98.30508474576271
walking the dog,58,59,0.9830508474576272,98.30508474576271
playing guitar,57,58,0.9827586206896551,98.27586206896551
playing violin,51,52,0.9807692307692307,98.07692307692307
fixing a car,50,51,0.9803921568627451,98.0392156862745
shooting an arrow,42,43,0.9767441860465116,97.67441860465115
cleaning the floor,42,43,0.9767441860465116,97.67441860465115
writing on a board,36,37,0.972972972972973,97.2972972972973
riding a bike,57,59,0.9661016949152542,96.61016949152543
fixing a bike,44,46,0.9565217391304348,95.65217391304348
watching TV,43,45,0.9555555555555556,95.55555555555556
holding an umbrella,56,59,0.9491525423728814,94.91525423728814
rowing a boat,35,37,0.9459459459459459,94.5945945945946
blowing bubbles,49,52,0.9423076923076923,94.23076923076923
cutting trees,38,41,0.926829268292683,92.6829268292683
throwing frisby,38,41,0.926829268292683,92.6829268292683
gardening,37,40,0.925,92.5
riding a horse,55,60,0.9166666666666666,91.66666666666666
pushing a cart,43,47,0.9148936170212766,91.48936170212765
fishing,50,55,0.9090909090909091,90.9090909090909
using a computer,41,46,0.8913043478260869,89.13043478260869
taking photos,34,40,0.85,85.0
drinking,44,52,0.8461538461538461,84.61538461538461
looking through a microscope,33,39,0.8461538461538461,84.61538461538461
running,43,51,0.8431372549019608,84.31372549019608
cooking,48,58,0.8275862068965517,82.75862068965517
jumping,47,59,0.7966101694915254,79.66101694915254
reading,39,49,0.7959183673469388,79.59183673469387
looking through a telescope,30,41,0.7317073170731707,73.17073170731707
brushing teeth,28,40,0.7,70.0
writing on a book,35,50,0.7,70.0
smoking,33,49,0.673469387755102,67.3469387755102
waving hands,27,42,0.6428571428571429,64.28571428571429
phoning,32,52,0.6153846153846154,61.53846153846154
cutting vegetables,23,38,0.6052631578947368,60.526315789473685
washing dishes,22,37,0.5945945945945946,59.45945945945946
applauding,33,57,0.5789473684210527,57.89473684210527
texting message,21,39,0.5384615384615384,53.84615384615385
pouring liquid,5,40,0.125,12.5
