mimic page id,model page id,notes
1018939,1025186,
1022305,5154780,
1024249,1048280,
1024249,1048273,
1024249,1018727,mullerian
1025105,8616080,
313602,1025105,
1055495,1055746,behavioral/acoustic mimic
1056050,1057029,
46396159,1057054,
1065343,737223,Wikipedia referenced Mallophora bomboides but EOL only has Mallophora orcina
1203659,466771,
163036,12084265,
159405,130502,
51628326,130502,subspecies model
46791590,130502,female only mimic
131355,130502,
389194,130502,male only mimic
130865,130502,
131291,130743,male only mimic
130871,148654,
131345,130848,female only mimic
131349,130754,female only mimic
131355,130502,female only mimic
130843,149259,
131327,149259,
162837,149259,female only mimic
163036,152069,
131359,152069,
159832,2682738,"A recent study has shown the viceroy is less palatable than either of the species it mimics, the monarch and queen butterflies, meaning those species most likely benefit more from the mimicry than the viceroy."
2922728,159832,likely mullerian
160030,151378,Heliconius
178748,176560,
257383,152069,
217197,1004114,
333692,1025186,
748448,1032911,
374487,52397472,
313562,313597,
313562,332399,
331008,1037749,
331008,1025277,
331381,1039174,
332455,1025186,
46448815,46449564,
46562014,46559639,
46570806,46570932,
46572189,46568294,
46573534,46572029,juvenile only model
46573542,46573565,
46573543,46573577,
46573543,46573581,
46573552,46573574,
46579750,46570932,
47056105,1057054,
51264659,46573571,
45514716,45514268,
45514716,45514269,
45515791,45515838,
45516922,45518643,juvenile only mimic
791235,962855,coral snake mimic
49994081,962855,coral snake mimic
49994082,962855,coral snake mimic
49994091,962855,coral snake mimic
791784,795080,There are two black mambas but 52868975 has no pictures.
792617,962855,assuming that Eastern coral snake is representative of all coral snakes.
792584,962855,coral snake mimic
793505,795118,
925982,311570,rare mammal batesian mimicry
950007,1032911,
795461,962855,coral snake mimic
1226565,962855,coral snake mimic
