,id,name,common_name,supercategory,kingdom,phylum,class,order,family,genus,specific_epithet,image_dir_name,label
0,0,Lumbricus terrestris,Common Earthworm,Animalia,Animalia,Annelida,Clitellata,Haplotaxida,Lumbricidae,Lumbricus,terrestris,00000_Animalia_Annelida_Clitellata_Haplotaxida_Lumbricidae_Lumbricus_terrestris,Common Earthworm Animalia Lumbricus
1,1,Sabella spallanzanii,Mediterranean Fanworm,Animalia,Animalia,Annelida,Polychaeta,Sabellida,Sabellidae,Sabella,spallanzanii,00001_Animalia_Annelida_Polychaeta_Sabellida_Sabellidae_Sabella_spallanzanii,Mediterranean Fanworm Animalia Sabella
2,2,Serpula columbiana,Serpula columbiana,Animalia,Animalia,Annelida,Polychaeta,Sabellida,Serpulidae,Serpula,columbiana,00002_Animalia_Annelida_Polychaeta_Sabellida_Serpulidae_Serpula_columbiana,Serpula columbiana Animalia Serpula
3,3,Spirobranchus cariniferus,Blue Tube Worm,Animalia,Animalia,Annelida,Polychaeta,Sabellida,Serpulidae,Spirobranchus,cariniferus,00003_Animalia_Annelida_Polychaeta_Sabellida_Serpulidae_Spirobranchus_cariniferus,Blue Tube Worm Animalia Spirobranchus
4,4,Eratigena duellica,Giant House Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Eratigena,duellica,00004_Animalia_Arthropoda_Arachnida_Araneae_Agelenidae_Eratigena_duellica,Giant House Spider Arachnids Eratigena
5,5,Atypoides riversi,California Turret Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Antrodiaetidae,Atypoides,riversi,00005_Animalia_Arthropoda_Arachnida_Araneae_Antrodiaetidae_Atypoides_riversi,California Turret Spider Arachnids Atypoides
6,6,Aculepeira ceropegia,Oak Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Aculepeira,ceropegia,00006_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Aculepeira_ceropegia,Oak Spider Arachnids Aculepeira
7,7,Agalenatea redii,Gorse Orbweaver,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Agalenatea,redii,00007_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Agalenatea_redii,Gorse Orbweaver Arachnids Agalenatea
8,8,Araneus bicentenarius,Giant Lichen Orbweaver,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Araneus,bicentenarius,00008_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Araneus_bicentenarius,Giant Lichen Orbweaver Arachnids Araneus
9,9,Araneus diadematus,Cross Orbweaver,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Araneus,diadematus,00009_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Araneus_diadematus,Cross Orbweaver Arachnids Araneus
